cid,label,ipfs_feralfile_com_ok
bafybeieehrcp4bqilppgnaj45auvrtg4v4rwj5dlycdmzpi24tihl45fyu,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Fluid Dreams,fail: HTTP 404 0.4s
bafybeie4qnsnkvjho73vptbxwrki7oxx3e26falu6r2qfqlyrhbunps4zm,bitmark-era-series: Vague Recollection,fail: HTTP 404 0.4s
bafybeihm6vz6ipaptke2pyda4fdqs62gymrtvvwwpwj24fsvn5ahuodfqy,bitmark-era-series: 36 Points #32,fail: HTTP 404 0.4s
bafybeibtidpltkb33zzplqgpgrda7viurn4yhydnus3g5kxlc4xfi7vh6y,bitmark-era-series: Model Illusion,fail: HTTP 404 0.4s
bafybeig5cxrfb74enus44qipxl4ihwpiptwfnja6waa4s5vwzkvnx7vrhq,bitmark-era-series: neural swarm,fail: HTTP 404 0.4s
bafybeihjkbcyfatatmkrpwxsf4wuomwuiz3xodvevrdq637ihv72thogpe,bitmark-era-series: In Search of Your Digital Self,fail: HTTP 404 0.4s
bafybeihinh2dkpuduhdr626quxlzemw5cluftcrmthdwe3eb6s2fdgb2oa,bitmark-era-series: Every Icon: BlockPrint,fail: HTTP 404 0.4s
bafybeidacnfic5rhudbkulbkihtbm6y2jdkec7y6bflomd2ua6l7jtnn24,bitmark-era-series: Infinite Entropy 24,fail: HTTP 404 0.4s
bafybeibitfclh2suz5ql5t4to42qlhhj3elmdiqkeh2doiwtpbj26beuuu,bitmark-era-series: 36 Points #20,fail: HTTP 404 0.5s
bafybeievbvlqss4rg7qx3x3dns66rfsz4rayh5eer2hm2xusv7uolub7yi,"bitmark-era-series: Fragments:30.2051 N, 90.1121 W",fail: HTTP 404 0.5s
bafybeif2sbjbzt54ue3opszbyg2cq4w3x757tybdayejihl2vdiluwunmi,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — F,fail: HTTP 404 0.4s
bafybeih2zze4nhv4fifj7bazsdndlooxwst5o5con7chcglsdlvdz64rgm,bitmark-era-series: 36 Points #14,fail: HTTP 404 0.4s
bafybeifgbobdoee74dfoxtodgmi3o3ov3xqspbs76f6cirdxjqds7ykgyi,bitmark-era-series: 36 Points #06,fail: HTTP 404 0.4s
bafybeiawrkxqiht7iyqkt3rljwcmmau52mvkaclojeziqoigcx775mdetm,bitmark-era-series: Unsupervised — Data Universe — MoMA,fail: HTTP 404 0.4s
bafybeic5h4j4jmfxylujkstwkbf4p7iahgavdywm632istqpg7rxx7fque,bitmark-era-series: Blooming Valetudinarian,fail: HTTP 404 0.4s
bafybeie6lzmdqpe37wetks7ve7y3frpkchdkhag4apdnjcoojblipz5sla,bitmark-era-series: Chaos Blocks,fail: HTTP 404 0.4s
bafybeic3aawt2dt45x5q3meex3azvp7gs2xsyuz45rmx7tvinajdms3tfe,bitmark-era-series: Aufgezeichnete Luft,fail: HTTP 404 0.4s
bafybeiet5epjhrkoatc6bvg2djbiysbq66o2anranjkyzycuhu64haxyhe,bitmark-era-series: Slipstream 001,fail: HTTP 404 0.5s
bafybeig3bmwlzbqdr4qmne4y7ylg4jzwblx6lqiwrudpbatylxycf5ovgi,bitmark-era-series: 36 Points Display Edition,fail: HTTP 404 0.4s
bafybeigtt4moe32rr7gu4oqy4gfmhpj4zf7lsmxbmvkofdscnz7jezo7wa,bitmark-era-series: 3 ORBS,fail: HTTP 404 0.4s
bafybeiashvfbhybrvsgjo37vcbhw6h4i2ucqa7347pay5wb2zr2kjajwuy,bitmark-era-series: Glissbob,fail: HTTP 404 0.4s
bafybeidhndufg74y7igurso346l34dg5cxyk4k6cx4dvh42vvhg2bzbe3a,bitmark-era-series: Infinite Entropy 3,fail: HTTP 404 0.4s
bafybeihcwkgikgqx444pv6omzt7vdjzqmiqrbidw7vxo3csvhmrebyrhg4,bitmark-era-series: Loner,fail: HTTP 404 0.4s
bafybeih6jdk6c7iz7bxdbnw25ra4z7nr2gwpinlgzqnd2vhbut466hocsa,bitmark-era-series: Infinite Entropy 22,fail: HTTP 404 0.4s
bafybeidn3vuac4eiyqa5ug5pkdkan3xp22hvqzcskkusk3pnxdqood4f5q,bitmark-era-series: 36 Points #24,fail: HTTP 404 0.5s
bafybeihkgvv7l752qcpdi47v77wtzwdwufebl2spukhm2avcjyz54birg4,bitmark-era-series: TimeTravellerTM Trailer,fail: HTTP 404 0.4s
bafybeicoxwrcpi2tr63ebywwk5rfpdync72rrxkyy4ymtwitnyl4icrgsu,bitmark-era-series: Infinite Entropy 16,fail: HTTP 404 0.5s
bafybeigv2puw2ximac36gyghvv67tvdm7prjmkff3742thjieirbzukpgm,bitmark-era-series: Mommy Wow,fail: HTTP 404 0.4s
bafybeigxnjbnsvu27zq6diy2kntnyemk2dsdg5ydyibpixr75tols2t55e,bitmark-era-series: 36 Points #29,fail: HTTP 404 0.4s
bafybeifiqu2kpctqlsefgjo4tlgavi6t45wz4qhiur6sf3yw262amuccq4,bitmark-era-series: Solstice Sky Dream,fail: HTTP 404 0.5s
bafybeiap4hionam65txvvbzvk5trk6cydzwjm7yfkbzkbprnm6x6z25kru,bitmark-era-series: What do you want me to say?,fail: HTTP 404 0.4s
bafybeia6h53xfyi3ght27ojg5x4qk6wucmtldr4pis4nlkij4gjketbiru,bitmark-era-series: Patterns of Activation (gardens of the galaxy),fail: HTTP 404 0.4s
bafybeiat3o2cd3two65t4ai4m6iacrzio5kxrkp7cfisrw53ba4r4ca3l4,bitmark-era-series: 36 Points #33,fail: HTTP 404 0.4s
bafybeicemfddfrldlz7u3her7d23rotfgujjbpqkzfrpkbvm2dg2sb4u6i,bitmark-era-series: 36 Points #05,fail: HTTP 404 0.4s
bafybeicuxvu74piuhpkmld333qjmknqlnplzgudl67rvppmupwgs6fs5wa,bitmark-era-series: Fractura,fail: HTTP 404 0.4s
bafybeia3khfqwo55ldrbnhtywih2zypqnwsursmdaanvve2lfkhxsyvvbi,bitmark-era-series: Picnic 001,fail: HTTP 404 0.4s
bafybeigkppmsp2c4lyedoprdb6izltpouk3ywuz3f5gwulexlfplp2rrsa,"bitmark-era-series: IKU: Expand, an interface",fail: HTTP 404 0.4s
bafybeihmp6yyugpztxujedettnssphom2hsluhlvk2k2xgxlbq3pdq2xxy,bitmark-era-series: 36 Points #01,fail: HTTP 404 0.4s
bafybeieoft34zixtyvma4bsozefetikcp4wuh77yabdycv5ae6u6w6zc6y,bitmark-era-series: Mirror Arm,fail: HTTP 404 0.4s
bafybeigpb2o5axk4h5uo7flhss7qbk5gvqye3eme7zbphagjknmn5qtxxy,bitmark-era-series: A la recherche de l'information perdue,fail: HTTP 404 0.5s
bafybeib7mpj6as3blyxvzmr5vtykcmccfa5jlco62nvw7j3whkubmoka34,bitmark-era-series: Infinite Entropy 6,fail: HTTP 404 0.5s
bafybeiesrktgfogq73eti5wp56g76gsqtggrnuabtrbauusohwamuodcnq,bitmark-era-series: it's a matter of perspective,fail: HTTP 404 0.4s
bafybeiawycz3flztfssluvmezuonbs6ttid4s5e5qbgzl7blpxxqjihjt4,bitmark-era-series: Movie on 06-03-22 at 1.00 PM,fail: HTTP 404 0.4s
bafybeihuuv44w6lmh6qngjo46ykmwyxw2cr2ptovsnv7gfuneqvwsgrv3q,bitmark-era-series: Infinite Entropy 18,fail: HTTP 404 0.4s
bafybeid3oolfuq6ehl65zskasluwazkvigdtytktbo65wxi4ynpzj7xqae,bitmark-era-series: Neonumens,fail: HTTP 404 0.4s
bafybeicdnesa46ttad3ebst4c53qstpygwhwgwr6l6ricnsecdlm4etijy,bitmark-era-series: 36 Points #09,fail: HTTP 404 0.4s
bafybeicpzu5662p244agrni3dowebgnnidlcjmt6yxmfk4bp4r2zc5zn2y,a2p: a2p 1.0 media (art-trading-assets-preview-livenet),fail: HTTP 404 0.4s
bafybeifvvqoomhreylzrkm3f25oymfv4brp4wy2pxiaywm4i2huu6vrrje,a2p: a2p 2.0 media (art-trading-v2-live),fail: HTTP 404 0.4s
bafybeifc7skzcg7ivlsl5g2kusnf5izwgdwg4dbcgly3uhz7ir3t32olgi,a2p: a2p trade originals (trade-art-trading-livenet),fail: HTTP 404 0.4s
QmQeLXYbeB5kzoZQhLwoRhSaXAovc6Kp9didBasVDRuVHe,bitmark-blockchain-archive: chain archive metadata + data,ok 200 text/html 16.4s
QmUTivb8fhJyNF1MvPXU1swyc8Eonf9eTeVm7uxPkiKaxK,bitmark-blockchain-archive: Merkle proof file,ok 200 application/json 0.5s
QmRGwoEnB4inboActrRsNAEiJzXL8LUwLrCYcUCgAEBxMQ,hls-master-playlists: FeralVerse master A,ok 200 application/vnd.apple.mp 0.4s
Qmf8bvobDWMTmauvhgFKWNhZKUe4ufDY16a6qk1KLSgM74,hls-master-playlists: FeralVerse master B,ok 200 application/vnd.apple.mp 0.4s
QmQJAa9uC5Fc3gFzNnb8CHNMgJq7NgtNF1SHs9x7YvbjM4,hls-master-playlists: On Screen Presence master,ok 200 application/vnd.apple.mp 0.4s
bafybeiaix5orbepkcgbazsowl6fztmp2ys4djbhr47d2noffq6rndggbkq,aorist: aorist ng-models,fail: HTTP 404 0.4s
bafybeihgqym3ymlrowvt7dodxozcznijbtrnaowg5ynn246pj4m7x3g67i,aorist: aorist ng-images,fail: HTTP 404 0.4s
bafybeicitng5nvk76sj422ankbf7vh4hp5t7w2jzw5r5hjcasqv2i45cwq,aorist: aorist ng-art-ipfs,fail: HTTP 404 0.4s
bafybeigeflcxy7ychcfrdlutspz4xdz7lkfudwrrg5vxz5qemowqdbufl4,aorist: aorist ng-art-env-02-s3-bucket,fail: HTTP 404 0.5s
bafybeiea554avuft4j65pfo6s4vw24ikzlxwraavqmxtam2qialhb3abfy,aorist: aorist ng-aor-ipfs,fail: HTTP 404 0.4s
bafybeicmn4vlgjtuuewwrh3vkz3tom6rejykb7inyzbpqphjvjhy4gubjq,aorist: aorist ng-videos,fail: HTTP 404 0.4s
bafybeidfatg5fydti6ayrbjw2hvt4r76buugzdp4djwgoh53ojl7pd7xqq,aorist: aorist m-original,fail: HTTP 404 0.4s
